SPA: Standard Peritoneal permeability Analysis,,,,,,,,,,,,,,,,,,,,,,,,
Data Pig,,,,,,,,,,,,,,,,,,,,,,,,
Animal,,,,,,,,,,,,,,,,,,,,,,,,
Ear number pig:,1998,,,,,,,,,,,,,,,,,,,,,,,
Sex:,F,,,,,,,,,,,,,,,,,,,,,,,
Weight:,130,kg,,,,,,,,,,,,,,,,,,,,,,
Jugular katheter location,right,,,,,,,,,,,,,,,,,,,,,,,
PD catheter:,Straight Tenckhoff,"Argyle, Covidien, Tenckhoff, 1 cuff, 47 cm",,,,,,,,,,,,,,,,,,,,,,
PD catheter REF:,,,,Use by:,,,,,,,,,,,,,,,,,,,,
PD catheter location:,Right (1),Left (1),Right (2),Right (3),,,,,,,,,,,,,,,,,,,,
Placement date PD catheter:,29-5-2018,12-9-2018,17-12-2018,17-1-2019,,,,,,,,,,,,,,,,,,,,
,removed,,,the right (3) catheter was used during this experiment.,,,,,,,,,,,,,,,,,,,,
Temperature chip present?,yes,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Laboratory measurements:,,,,,,,,,,,,,,,,,,,,,,,,
Plasma concentrations,,,,,,,,,,,,,,,,,,,,,,,,
Sample,,Sample volume,Time code,Actual time,,Urea,Creatinine,Sodium,Potassium,Albumin,Total protein,Phosphate,Glucose,Storage,Remarks,,,,,,,,,Costs LKCH
,,mL,,,,mmol/L,µmol/L,mmol/L,mmol/L,g/L,g/L,mmol/L,mmol/L,,(text),,,,,,,,,
T=0,,XXX,00:00,10:35,,5,291,139,,31.5,62,1.98,3.8,,,,,,,,,,,11.78
T=120,,XXX,02:00,13:10,,5.3,273,139,,32.8,65,1.75,6.2,,,,,,,,,,,11.78
T=240,,XXX,04:00,15:10,,5.6,266,138,,32.8,66,1.63,6.8,,,,,,,,,,,11.78
Mean,,,,,,5.3,276.7,138.7,4.3,,,1.8,5.6,,,,,,,,,,,
Dialysate concentrations,No. of sampling tubes,,,,,,,,,,,,,,,,,,,,,,,Costs LKCH
Sample,,Sample volume,Time code,Actual time,Dextran,Urea,Creatinine,Sodium,Potassium,Albumin,Total protein,Phosphate,Glucose,Storage,Remarks,Leukocytes,Neutrophils,D/P Urea,D/P Creatinine,D/P P,D/P K,D/D0 Glucose,D/P Na,
,,mL,,,g/L,mmol/L,µmol/L,mmol/L,mmol/L,g/L,g/L,mmol/L,mmol/L,,(text),x10^9/L,x10^9/L,,,,,,,
drain after rinsing with PN 1.36%,4,2,00:01,,0.007,,,,1.8,,,,,,,,,,,,,,,
Fresh PD fluid for rinsing (PN 1.36% + blue dextran),6,2,00:02,,0.377,,,,,,,,,,,,,,,,,,,
"T=0, after rinsing",6,6,00:03,11:10,0.247,0.6,20,128,1.2,100,0.77,0.12,64.3,,,,,0.12,0.07,,,1,,16.06
T=10,6,6,00:11,11:20,0.149,1.5,55,129,,297,2.09,0.36,56.3,,,,,0.3,0.19,,,0.88,0.93,16.06
T=20,1,2,00:21,11:30,0.156,,,,,,,,,,,,,,,,,,,
T=30,1,2,00:31,11:40,0.163,,,,,,,,,,,,,,,,,,,
T=60,6,6,01:01,12:10,0.166,1.7,58,125,,227,1.78,0.38,54.2,,,,,0.33,0.21,,,0.84,0.9,16.06
T=120,3,3,02:01,13:10,0.158,2.1,69,,3.4,,,0.43,52.1,,,,,0.4,0.25,,,0.81,,7.27
T=180,3,3,03:01,14:10,0.16,2.6,83,,,,,0.5,48.4,,,,,0.48,0.31,,,0.75,,7.27
T=240,6,27,04:01,15:10,0.154,3.1,96,124,3.8,238,1.81,0.56,45.3,,,"<0,1",,0.55,0.36,0.34,0.88,0.7,0.89,16.06
PD effluent complete drain after rinsing,4,4,04:02,,0.078,,,,,135,0.99,,,,,,,,,,,,,8.91
,,57,,,,,,,,,,,47,,,,,,,,,,,123.03
,,,,,,,,,,,,X,0.85,1.1574,,,,,,,,,,
Exchange scheme:,,,,,,,,,,,,,,,,,,,,,,,,
Exchange,Solution,Volume bag (mL),Weight bag (g) before instillment,Weight bag after instillment (g),Volume instilled (mL),Weight drain bag (g),Weight empty drain bag (g),Drain volume (mL),Total sample volume (mL),,,,,,,,,,,,,,,
Rinsing before SPA,1.36 % Physioneal ,2000,2355,220,1941,445,75,336,,Soortelijk gewicht:,,1.1,g/mL,,,,,,,,,,,
SPA dwell,1.36% Physioneal + blue dextran,2000,2250,200,1864,3310,150,2873,,,,,,,,,,,,,,,,
PD fluid for rinsing,1.36% Physioneal,2000,2345,1605,673,,75,-68,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Residual volume calculation:,,,,,,,,,,,,,,,,,,,,,,,,
,RV before SPA (mL),RV after SPA (mL),IP volume T=0 (mL),IP volume T=240 (mL),Mean IPV (mL),,,,"Dx0, absolute amount of Dextran at T=0",,,,0.7,,,,,,,,,,,
[Creatinine],,,3468,3685,3576.6,3577,3575.457291,,"Dxt, absolute amount of Dextran at T=240",,,,0.6,,,,,,,,,,,
[Total protein],,812,,,,,,,Dx geometric,,,,0.2,"Voor berekening van Dxgeom, ga ik uit van t=10, 60, 120, 180 en 240 zodat de tijdsintervallen constant zijn.",,,,,,,,,,
[Albumin],,882,,,,,,,ELAR (mL/min),,,,3.4,,,,,,,,,,,
[Dextran] ,981,690,,,,,,,,,,,,,,,,,,,,,,
RV,2038,"RV meting obv blue dextran is hier niet betrouwbaar, want obv de PN wisseling voor start zou er min 1499 mL RV moeten zijn. Hier ben ik dus vanuit gegaan + 433 mL RV aan het eind van het WEAKID experiment de dag voor de SPA (20190120)",,,,,,,,,,,,,,,,,,,,,,
Mean,NB omdat er geen overnight dwell was gedaan kon er geen RV obv albumine of totaal eiwit worden berekent  op T=0.,,,,,,,,,,,,,,,,,,,,,,,
Transport parameters:,,,,,,,,,,,,,,,,,,,,,,,,
,2-h Removal (mmol),Removal (mmol),Clearance (mL/min),MTAC Garred (mL/min),MTAC Waniewski (mL/min),Removal (mmol),Clearance (mL/min),MTAC Garred (mL/min),MTAC Waniewski (mL/min),2-h Removal sampling,Removal Sampling,,,,,,,,,,,,,
